0/1	7:59:59
0/0	8:04:59
1/1	8:09:59
1/1	8:14:59
1/1	8:19:59
1/1	8:24:59
1/1	8:29:59
1/1	8:34:59
1/1	8:39:59
1/1	8:44:59
1/1	8:49:59
1/1	8:54:59
1/1	8:59:59
1/1	9:04:59
1/1	9:09:59
1/1	9:14:59
1/1	9:19:59
1/1	9:24:59
1/1	9:29:59
1/1	9:34:59
1/1	9:39:59
1/1	9:44:59
1/1	9:49:59
1/1	9:54:59
1/1	13:18:35
1/1	13:23:35
1/1	13:28:35
1/1	13:33:35
1/1	13:38:35
1/1	13:43:35
1/1	13:48:35
1/1	13:53:35
1/1	13:58:35
1/1	14:03:35
1/1	14:08:35
1/1	14:39:31
1/1	14:44:31
1/1	14:49:31
1/1	14:54:31
1/1	14:59:31
1/1	15:04:31
1/1	15:14:52
1/1	15:19:52
1/1	15:24:52
