1/1	7:42:59
1/1	7:47:59
1/1	7:52:59
1/1	7:57:59
1/1	8:02:59
1/1	8:07:59
1/1	8:12:59
1/1	8:17:59
1/1	8:22:59
1/1	8:27:59
1/1	8:32:59
1/1	8:37:59
1/1	8:42:59
1/1	8:47:59
1/1	8:52:59
1/1	8:57:59
1/1	9:02:59
1/1	9:07:59
1/1	9:12:59
1/1	9:17:59
1/1	9:22:59
1/1	9:27:59
1/1	9:32:59
1/1	9:37:59
1/1	9:42:59
1/1	9:47:59
1/1	9:52:59
1/1	9:57:59
1/1	10:02:59
1/1	10:07:59
1/1	10:12:59
1/1	14:50:53
1/1	14:55:53
1/1	15:00:53
1/1	15:05:53
1/1	15:10:53
1/1	15:15:53
1/1	15:20:53
1/1	15:25:53
1/1	15:30:53
1/1	15:35:53
1/1	15:40:53
1/1	15:45:53
1/1	15:50:53
0/1	15:55:53
1/1	16:00:53
1/1	16:05:53
0/1	16:10:53
1/1	16:15:53
0/1	16:20:53
1/1	16:25:53
1/1	16:30:53
1/1	19:43:58
1/1	19:48:58
1/1	19:53:58
1/1	19:58:58
1/1	20:03:58
1/1	20:08:58
1/1	20:13:58
1/1	20:18:58
1/1	20:23:58
1/1	20:28:58
1/1	20:33:58
1/1	20:38:58
1/1	20:43:58
