半兽勇士10;81;19;102;50;0;100;300;300;0;0;0;15;32;0;0;15;13;1500;1;0;1500;
骷髅精灵10;89;14;150;40;1;100;600;500;0;5;4;7;24;0;0;15;14;1200;1;0;2000;
沃玛卫士0;97;19;151;50;1;0;1200;1000;0;8;8;22;42;0;0;20;17;800;1;0;1500;
粪虫0;106;53;29;26;1;100;180;155;0;3;2;9;17;0;0;15;14;1500;1;0;2500;
尸王3;81;19;152;40;1;100;800;500;0;3;3;18;36;0;0;15;15;500;1;0;2800;
巨型多角虫3;81;19;91;27;0;100;200;250;0;0;0;7;15;0;0;13;12;1000;1;0;2500;
邪恶钳虫10;81;19;121;60;0;100;1400;1000;0;20;10;22;45;0;0;15;17;700;1;0;1800;
白野猪2;81;19;112;50;1;100;1600;1000;0;15;15;30;55;0;0;25;17;800;1;0;1800;
祖玛卫士10;101;47;62;43;1;100;2000;1400;0;15;20;35;60;0;0;25;18;700;1;0;1700;
钢牙蜘蛛3;81;19;114;73;0;70;615;420;0;11;15;24;45;0;0;15;19;500;1;0;1500;
天狼蜘蛛3;118;19;119;60;0;20;570;390;0;9;14;23;39;0;0;15;19;500;3;2000;1800;
黑锷蜘蛛3;81;19;118;73;0;20;645;510;0;15;5;30;54;0;0;15;19;500;4;2000;2000;
花吻蜘蛛3;119;19;117;74;0;50;660;450;0;12;17;27;51;0;0;15;19;500;1;0;1800;
血巨人0;81;19;115;65;1;50;800;700;0;6;10;26;44;0;0;20;19;500;4;2000;2000;
血巨人3;81;19;115;75;1;50;1200;1050;0;9;15;39;66;0;0;20;19;500;4;2000;2000;
足球;120;9;3;1;0;0;1;9999;0;100;100;0;0;0;0;10;10;400;1;0;0;
鹿10;52;11;161;12;0;0;15;25;0;0;0;2;4;0;0;7;4;1400;1;0;3000;
鹿20;52;11;161;12;0;0;15;25;0;0;0;2;4;0;0;7;4;1400;1;0;3000;
鹿30;52;11;161;12;0;0;15;25;0;0;0;2;4;0;0;7;4;1400;1;0;3000;
骷髅领主;92;21;150;99;1;100;6000;6000;0;24;30;100;100;0;0;70;100;300;1;0;1200;
蝎蛇领主;92;21;164;99;1;100;6000;6000;0;24;30;100;100;0;0;70;100;300;1;0;1200;
沃玛护卫领主;92;21;151;99;1;100;6000;6000;0;24;30;100;100;0;0;70;100;300;1;0;1200;
钳虫领主;92;21;121;99;1;100;6000;6000;0;24;30;100;100;0;0;70;100;300;1;0;1200;
入侵者1;81;12;0;99;0;100;1;2000;0;30;30;30;35;0;0;20;25;500;1;0;1500;
入侵者2;104;45;71;99;0;0;1;2000;0;20;20;25;30;0;0;20;15;500;1;0;1500;
入侵者3;81;19;72;99;0;0;1;1000;0;15;15;25;35;0;0;18;15;500;1;0;1500;
