445;高粱酒;60;1;1;1;0;0;1294;5000;0;0;0;0;0;0;0;0;0;0;0;0;10000;5;255;;
446;稻米烧酒;60;2;1;1;0;0;1294;5000;0;0;0;0;0;0;0;0;0;0;0;0;10000;5;255;;
447;青稞酒;60;3;1;1;0;0;1294;5000;0;0;0;0;0;0;0;0;0;0;0;0;10000;5;255;;
448;果露酒;60;4;1;1;0;0;1294;5000;0;0;0;0;0;0;0;0;0;0;0;0;10000;5;255;;
449;粟米黄酒;60;5;1;1;0;0;1294;5000;0;0;0;0;0;0;0;0;0;0;0;0;10000;5;255;;
450;红曲酒;60;6;1;1;0;0;1294;5000;0;0;0;0;0;0;0;0;0;0;0;0;10000;5;255;;
451;花雕酒;60;7;1;1;0;0;1294;5000;0;0;0;0;0;0;0;0;0;0;0;0;10000;5;255;;
452;虎骨酒;60;8;1;2;0;0;1291;1000;0;0;0;0;0;0;0;0;0;0;2750;0;10000;5;255;;
453;金箔酒;60;9;1;2;0;0;1291;1000;0;0;0;0;0;0;0;0;0;0;3000;0;10000;5;255;;
454;活脉酒;60;10;1;2;0;0;1291;1000;0;0;0;0;0;0;0;0;0;0;2250;0;10000;5;255;;
455;玄参酒;60;11;1;2;0;0;1291;1000;0;0;0;0;0;0;0;0;0;0;2000;0;10000;5;255;;
456;蛇胆酒;60;12;1;2;0;0;1291;1000;0;0;0;0;0;0;0;0;0;0;2000;0;10000;5;;;
457;醉八打;60;13;1;2;0;0;1291;1000;0;0;0;0;0;0;0;0;0;0;2500;0;10000;5;;;
458;何首养气酒;60;14;1;2;0;0;1291;1000;0;0;0;0;0;0;0;0;0;0;2750;0;10000;5;;;
459;何首凝神酒;60;15;1;2;0;0;1291;1000;0;0;0;0;0;0;0;0;0;0;3250;0;10000;5;;;
460;高粱米;8;1;1;1;0;10;1307;5000;0;0;0;0;0;0;0;0;0;0;0;0;10000;5;;;
461;稻米;8;2;1;2;0;8;1309;5000;0;0;0;0;0;0;0;0;0;0;0;0;10000;5;;;
462;青稞;8;3;1;3;0;12;1303;5000;0;0;0;0;0;0;0;0;0;0;0;0;10000;5;;;
463;果露;8;4;1;4;0;1;1299;5000;0;0;0;0;0;0;0;0;0;0;0;0;10000;5;;;
464;粟米;8;5;1;5;0;6;1301;5000;0;0;0;0;0;0;0;0;0;0;0;0;10000;5;;;
465;红曲酒酿;8;6;1;6;0;2;1311;5000;0;0;0;0;0;0;0;0;0;0;0;0;10000;5;;;
466;糯米;8;5;1;7;0;4;1305;5000;0;0;0;0;0;0;0;0;0;0;0;0;10000;5;;;
467;精制高粱米;8;7;1;1;1;14;1308;5000;6;0;0;0;0;0;0;0;0;0;0;0;10000;5;;;
468;精制稻米;8;8;1;2;1;12;1310;5000;6;0;0;0;0;0;0;0;0;0;0;0;10000;5;;;
469;精制青稞;8;9;1;3;1;16;1304;5000;6;0;0;0;0;0;0;0;0;0;0;0;10000;5;;;
470;精制果露;8;10;1;4;1;1;1300;5000;6;0;0;0;0;0;0;0;0;0;0;0;10000;5;;;
471;精制粟米;8;11;1;5;1;8;1302;5000;6;0;0;0;0;0;0;0;0;0;0;0;10000;5;;;
472;精制红曲酒酿;8;13;1;6;1;4;1312;5000;6;0;0;0;0;0;0;0;0;0;0;0;10000;5;;;
473;精制糯米;8;12;1;7;1;6;1306;5000;6;0;0;0;0;0;0;0;0;0;0;0;10000;5;;;
474;虎骨;14;1;1;8;0;0;1321;5000;0;0;0;0;0;0;0;0;0;0;0;0;10000;5;;;
475;金箔;14;2;1;9;0;0;1322;5000;0;0;0;0;0;0;0;0;0;0;0;0;10000;5;;;
476;透骨草;14;4;1;10;0;0;1325;5000;0;0;0;0;0;0;0;0;0;0;0;0;10000;5;;;
477;千年人参;14;3;1;11;0;0;1323;5000;0;0;0;0;0;0;0;0;0;0;0;0;10000;5;;;
478;蛇胆;14;5;1;12;0;0;1324;5000;0;0;0;0;0;0;0;0;0;0;0;0;10000;5;;;
479;清水;9;0;1;0;0;0;1297;5000;0;0;0;0;0;0;0;0;0;0;0;0;10000;5;;;
480;泉水;9;1;1;0;0;0;1296;5000;0;0;0;0;0;0;0;0;0;0;0;0;10000;5;;;
481;陶土酒坛;12;0;1;0;0;0;1292;5000;0;0;0;0;0;0;0;0;0;0;0;0;10000;5;;;
482;青花酒瓶;12;1;1;0;0;0;1289;5000;0;0;0;0;0;0;0;0;0;0;0;0;10000;5;;;
483;高粱酒曲;13;1;1;0;0;0;1313;5000;0;0;0;0;0;0;0;0;0;0;0;0;10000;5;;;
484;稻米酒曲;13;2;1;0;0;0;1314;5000;0;0;0;0;0;0;0;0;0;0;0;0;10000;5;;;
485;花雕酒曲;13;7;1;0;0;0;1315;5000;0;0;0;0;0;0;0;0;0;0;0;0;10000;5;;;
486;红曲;13;6;1;0;0;0;1316;5000;0;0;0;0;0;0;0;0;0;0;0;0;10000;5;;;
487;青稞酒曲;13;3;1;0;0;0;1317;5000;0;0;0;0;0;0;0;0;0;0;0;0;10000;5;;;
488;露酒曲;13;4;1;0;0;0;1318;5000;0;0;0;0;0;0;0;0;0;0;0;0;10000;5;;;
489;粟米酒曲;13;5;1;0;0;0;1319;5000;0;0;0;0;0;0;0;0;0;0;0;0;10000;5;;;
490;烧酒;60;0;0;0;0;0;1235;10000;0;0;0;0;0;0;0;0;0;0;0;0;10000;5;0;0;
